stamp,access_id,other_manager,investment_discretion,put_call,security_class,ssh_prn_amt_type,acceptance_stamp,market_value,ssh_prn_amt,voting_authority_sole,voting_authority_shared,voting_authority_none,cik,conformed_submission_type,conformed_period_of_report,filed_as_of_date,date_of_change,effectiveness_date,fiscal_year_end,close,is_shifted_price,id
2018-10-25 23:00:00,0001434845-18-000004,,SOLE,,STOCK,SH,2018-10-24 17:40:36,50000.0,2191.0,0.0,0.0,2191.0,1352860,13F-HR,2018-09-30 00:00:00,2018-10-25 00:00:00,2018-10-24 00:00:00,2018-10-25 00:00:00,1231.0,22.9,False,8115.0
2018-11-14 10:05:01,0001446194-18-000008,2,DFND,Put,STOCK,SH,2018-11-14 10:05:01,1098000.0,20800.0,0.0,0.0,0.0,1446194,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,,52.79,False,58022.0
2018-10-24 10:44:43,0001567619-18-004450,,SOLE,,STOCK,SH,2018-10-24 10:44:43,7676000.0,107367.0,107367.0,0.0,0.0,1593051,13F-HR,2018-09-30 00:00:00,2018-10-24 00:00:00,2018-10-24 00:00:00,2018-10-24 00:00:00,914.0,71.49,False,79580.0
2018-05-11 10:40:20,0000909012-18-000072,0,SOLE,,STOCK,SH,2018-05-11 10:40:20,18000.0,11835.0,11835.0,0.0,0.0,1362033,13F-HR,2018-03-31 00:00:00,2018-05-11 00:00:00,2018-05-11 00:00:00,2018-05-11 00:00:00,1130.0,1.51,False,300668.0
2018-05-15 14:43:54,0001725297-18-000002,,SOLE,,STOCK,SH,2018-05-15 14:43:54,68000.0,1211.0,0.0,0.0,1211.0,1725297,13F-HR,2018-03-31 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,1231.0,56.38,False,53125.0
2018-08-03 13:39:10,0001085146-18-001834,,OTR,,STOCK,SH,2018-08-03 13:39:10,8000.0,100.0,100.0,0.0,0.0,1299582,13F-HR,2018-06-30 00:00:00,2018-08-03 00:00:00,2018-08-03 00:00:00,2018-08-03 00:00:00,1231.0,80.74,False,340710.0
2018-02-08 09:02:32,0000950123-18-001040,1,SOLE,,ADR,SH,2018-02-08 09:02:32,54000.0,2870.0,0.0,0.0,2870.0,350894,13F-HR,2017-12-31 00:00:00,2018-02-08 00:00:00,2018-02-08 00:00:00,2018-02-08 00:00:00,1231.0,18.95,False,75213.0
2018-05-10 12:05:10,0001588873-18-000003,,SOLE,,STOCK,SH,2018-05-10 12:05:10,408000.0,16440.0,16440.0,0.0,0.0,1588873,13F-HR,2018-03-31 00:00:00,2018-05-10 00:00:00,2018-05-10 00:00:00,2018-05-10 00:00:00,1231.0,24.83,False,33090.0
2018-08-13 15:09:35,0001655095-18-000002,,SOLE,,STOCK,SH,2018-08-13 15:09:35,116000.0,1000.0,1000.0,0.0,0.0,1655095,13F-HR,2018-06-30 00:00:00,2018-08-13 00:00:00,2018-08-13 00:00:00,2018-08-13 00:00:00,1231.0,28.55,False,11137816.0
2018-11-14 09:42:43,0001062993-18-004596,,SOLE,,STOCK,SH,2018-11-14 09:42:43,611000.0,22250.0,0.0,0.0,22250.0,1730630,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1231.0,27.45,False,7554.0
2018-02-14 09:45:06,0001172661-18-000634,19,OTR,,ADR,SH,2018-02-14 09:45:06,7000.0,28.0,28.0,0.0,0.0,1332905,13F-HR,2017-12-31 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,1231.0,234.21,False,7851.0
2018-05-04 13:55:55,0001656537-18-000004,,SOLE,,STOCK,SH,2018-05-04 13:55:55,189000.0,3945.0,0.0,0.0,3945.0,1656537,13F-HR,2018-03-31 00:00:00,2018-05-04 00:00:00,2018-05-04 00:00:00,2018-05-04 00:00:00,1231.0,47.82,False,79732.0
2018-10-16 11:34:56,0001088950-18-000004,,SOLE,,STOCK,SH,2018-10-16 11:34:56,306000.0,12903.0,12903.0,0.0,0.0,1088950,13F-HR,2018-09-30 00:00:00,2018-10-16 00:00:00,2018-10-16 00:00:00,2018-10-16 00:00:00,929.0,23.7,False,11144664.0
2018-08-14 09:47:59,0001145443-18-000577,"1,6",DFND,,STOCK,SH,2018-08-14 09:47:59,498000.0,17966.0,0.0,0.0,17966.0,928047,13F-HR,2018-06-30 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,1231.0,27.71,False,13037.0
2018-11-14 12:05:34,0001681115-18-000009,6,DFND,,STOCK,SH,2018-11-14 12:05:34,834000.0,12267.0,0.0,0.0,12267.0,1681115,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1231.0,67.66,False,42570.0
2018-08-15 17:07:15,0001493152-18-012070,1,DFND,,STOCK,SH,2018-08-15 17:07:15,15000.0,1500.0,0.0,0.0,1500.0,1029730,13F-HR,2018-06-30 00:00:00,2018-08-15 00:00:00,2018-08-15 00:00:00,2018-08-15 00:00:00,1231.0,11.25,False,11007137.0
2018-01-18 06:05:57,0001104659-18-002752,2,DFND,,STOCK,SH,2018-01-18 06:05:57,3199931.0,58170.0,58170.0,0.0,0.0,719245,13F-HR,2017-12-31 00:00:00,2018-01-18 00:00:00,2018-01-18 00:00:00,2018-01-18 00:00:00,930.0,55.01,True,11466.0
2018-04-30 10:08:40,0001387131-18-001820,,SOLE,,STOCK,SH,2018-04-30 10:08:40,2832000.0,36600.0,36600.0,0.0,0.0,1058470,13F-HR,2018-03-31 00:00:00,2018-04-30 00:00:00,2018-04-30 00:00:00,2018-04-30 00:00:00,1231.0,77.37,False,42487.0
2018-02-06 11:40:35,0001140361-18-005219,0,SOLE,,,SH,2018-02-06 11:40:35,2209000.0,151620.0,151620.0,0.0,0.0,919079,13F-HR,2017-12-31 00:00:00,2018-02-06 00:00:00,2018-02-06 00:00:00,2018-02-06 00:00:00,630.0,14.57,False,11144465.0
2018-02-14 10:59:28,0000950123-18-002112,01,DFND,,STOCK,SH,2018-02-14 10:59:28,1613000.0,13386.0,13386.0,0.0,0.0,102909,13F-HR,2017-12-31 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,1231.0,120.5,False,13575.0
2018-08-01 15:17:33,0000072971-18-000404,90,DFND,,STOCK,SH,2018-08-01 15:17:33,2145000.0,33782.0,0.0,0.0,33782.0,72971,13F-HR,2018-06-30 00:00:00,2018-08-01 00:00:00,2018-08-01 00:00:00,2018-08-01 00:00:00,1231.0,63.49,False,38030.0
2018-08-15 17:07:15,0001493152-18-012070,3,DFND,,STOCK,SH,2018-08-15 17:07:15,132000.0,1624.0,0.0,0.0,1624.0,1029730,13F-HR,2018-06-30 00:00:00,2018-08-15 00:00:00,2018-08-15 00:00:00,2018-08-15 00:00:00,1231.0,98.58,False,80645.0
2018-04-20 14:46:38,0000831571-18-000003,,SOLE,,STOCK,SH,2018-04-20 14:46:38,10721000.0,224189.0,224189.0,0.0,0.0,831571,13F-HR,2018-03-31 00:00:00,2018-04-20 00:00:00,2018-04-20 00:00:00,2018-04-20 00:00:00,1231.0,47.82,False,79732.0
2018-08-13 15:21:53,0001126328-18-000234,1 4,DFND,,STOCK,SH,2018-08-13 15:21:53,2022000.0,9237.0,9237.0,0.0,0.0,1126328,13F-HR,2018-06-30 00:00:00,2018-08-13 00:00:00,2018-08-13 00:00:00,2018-08-13 00:00:00,1231.0,218.87,False,16741.0
2018-10-25 14:07:35,0001398344-18-015318,,SOLE,,STOCK,SH,2018-10-25 14:07:35,79000.0,2932.0,2932.0,0.0,0.0,1667163,13F-HR,2018-09-30 00:00:00,2018-10-25 00:00:00,2018-10-25 00:00:00,2018-10-25 00:00:00,1231.0,26.95,False,11019673.0
2018-01-02 14:44:37,0001315339-18-000002,,SOLE,,STOCK,SH,2018-01-02 14:44:37,284000.0,4820.0,4820.0,0.0,0.0,1315339,13F-HR,2017-12-31 00:00:00,2018-01-02 00:00:00,2018-01-02 00:00:00,2018-01-02 00:00:00,,59.0,False,10988.0
2018-05-15 13:42:15,0001140361-18-023764,,SOLE,,STOCK,SH,2018-05-15 13:42:15,46000.0,1763.0,1763.0,0.0,0.0,1000275,13F-HR,2018-03-31 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,1031.0,25.9,False,14211.0
2018-08-06 14:08:51,0001390777-18-000115,38,DFND,,,SH,2018-08-06 14:08:51,9539000.0,8550.0,8550.0,0.0,0.0,1390777,13F-HR,2018-06-30 00:00:00,2018-08-06 00:00:00,2018-08-06 00:00:00,2018-08-06 00:00:00,1231.0,1115.65,False,11131355.0
2018-08-14 15:11:24,0001683168-18-002305,,SOLE,,ETF,SH,2018-08-14 15:11:24,247000.0,3460.0,3460.0,0.0,0.0,1167495,13F-HR,2018-06-30 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,1231.0,71.43,False,10900811.0
2018-04-23 15:13:10,0001445546-18-002045,,SOLE,,,SH,2018-04-23 15:13:10,882000.0,71340.0,71340.0,0.0,0.0,1125816,13F-HR,2018-03-31 00:00:00,2018-04-23 00:00:00,2018-04-23 00:00:00,2018-04-23 00:00:00,1231.0,12.36,False,58984.0
2018-08-14 16:10:59,0001567619-18-001031,,OTR,,STOCK,SH,2018-08-14 16:10:59,5837000.0,63001.0,0.0,63001.0,0.0,1610880,13F-HR,2018-06-30 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,1231.0,92.65,False,11039494.0
2018-11-14 23:00:00,0001650150-18-000006,,SOLE,,STOCK,SH,2018-11-13 19:44:13,532000.0,14663.0,0.0,0.0,14663.0,1650150,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-13 00:00:00,2018-11-14 00:00:00,1231.0,36.32,False,51865.0
2018-11-14 14:56:50,0001567619-18-006175,19,DFND,,STOCK,SH,2018-11-14 14:56:50,11000.0,205.0,205.0,0.0,0.0,1000275,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1031.0,51.38,False,11147236.0
2018-08-14 23:00:00,0001608046-18-000005,,SOLE,,STOCK,SH,2018-08-13 21:37:02,14162000.0,134554.0,134554.0,0.0,0.0,1608046,13F-HR,2018-06-30 00:00:00,2018-08-14 00:00:00,2018-08-13 00:00:00,2018-08-14 00:00:00,1231.0,105.96,False,39237.0
2018-08-15 12:35:10,0001007295-18-000003,,OTR,,STOCK,SH,2018-08-15 12:35:10,39000.0,800.0,0.0,400.0,400.0,1007295,13F-HR,2018-06-30 00:00:00,2018-08-15 00:00:00,2018-08-15 00:00:00,2018-08-15 00:00:00,1231.0,48.85,False,72199.0
2018-05-01 13:57:57,0000950123-18-003993,1,DFND,,STOCK,SH,2018-05-01 13:57:57,507000.0,21222.0,21222.0,0.0,0.0,1518195,13F-HR,2018-03-31 00:00:00,2018-05-01 00:00:00,2018-05-01 00:00:00,2018-05-01 00:00:00,1211.0,23.91,False,50721.0
2018-05-11 11:25:38,0000720672-18-000055,2,DFND,,STOCK,SH,2018-05-11 11:25:38,65140000.0,841192.0,806370.0,0.0,34822.0,720672,13F-HR,2018-03-31 00:00:00,2018-05-11 00:00:00,2018-05-11 00:00:00,2018-05-11 00:00:00,1231.0,77.47,False,22181.0
2018-04-26 09:47:27,0001597409-18-000002,,SOLE,,,SH,2018-04-26 09:47:27,785608.0,28496.0,0.0,0.0,0.0,1597409,13F-HR,2018-03-31 00:00:00,2018-04-26 00:00:00,2018-04-26 00:00:00,2018-04-26 00:00:00,1231.0,27.57,True,68914.0
2018-05-08 14:57:40,0001568679-18-000002,,SOLE,,STOCK,SH,2018-05-08 14:57:40,517000.0,10655.0,10655.0,0.0,0.0,1568679,13F-HR,2018-03-31 00:00:00,2018-05-08 00:00:00,2018-05-08 00:00:00,2018-05-08 00:00:00,1231.0,48.5,False,70420.0
2018-08-14 23:00:00,0001633207-18-000003,,SOLE,,,SH,2018-08-13 17:47:17,252000.0,2375.0,0.0,0.0,2375.0,1633207,13F-HR,2018-06-30 00:00:00,2018-08-14 00:00:00,2018-08-13 00:00:00,2018-08-14 00:00:00,1231.0,106.24,False,243381.0
2018-11-14 14:56:50,0001567619-18-006175,2,DFND,,STOCK,SH,2018-11-14 14:56:50,12000.0,875.0,875.0,0.0,0.0,1000275,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1031.0,13.57,False,10929151.0
2018-08-13 16:26:41,0001085146-18-002012,,SOLE,,STOCK,SH,2018-08-13 16:26:41,244000.0,330.0,0.0,0.0,330.0,1697729,13F-HR,2018-06-30 00:00:00,2018-08-13 00:00:00,2018-08-13 00:00:00,2018-08-13 00:00:00,1231.0,14.99,False,2388.0
2018-08-14 13:04:10,0000019617-18-000153,5,DFND,,STOCK,SH,2018-08-14 13:04:10,1419000.0,51944.0,49083.0,0.0,2861.0,19617,13F-HR,2018-06-30 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,1231.0,27.32,False,11075163.0
2018-11-13 14:09:18,0001214717-18-000006,1,DFND,,STOCK,SH,2018-11-13 14:09:18,13209000.0,173034.0,170435.0,0.0,2599.0,1214717,13F-HR,2018-09-30 00:00:00,2018-11-13 00:00:00,2018-11-13 00:00:00,2018-11-13 00:00:00,1231.0,76.34,False,19923.0
2018-08-09 23:00:00,0001730293-18-000003,,SOLE,,,SH,2018-08-08 19:44:55,371000.0,2335.0,0.0,0.0,2335.0,1730293,13F-HR,2018-06-30 00:00:00,2018-08-09 00:00:00,2018-08-08 00:00:00,2018-08-09 00:00:00,630.0,159.17,False,37618.0
2018-11-13 13:12:50,0001171843-18-007879,,SOLE,,STOCK,SH,2018-11-13 13:12:50,1578000.0,6720.0,6720.0,0.0,0.0,1674486,13F-HR,2018-09-30 00:00:00,2018-11-13 00:00:00,2018-11-13 00:00:00,2018-11-13 00:00:00,1231.0,234.88,False,17451.0
2018-07-30 17:03:02,0001085146-18-001781,,SOLE,,STOCK,SH,2018-07-30 17:03:02,1089000.0,25318.0,4483.0,0.0,20835.0,1317784,13F-HR,2018-06-30 00:00:00,2018-07-30 00:00:00,2018-07-30 00:00:00,2018-07-30 00:00:00,,43.03,False,14316.0
2018-08-14 16:47:18,0000950123-18-008949,1,DFND,Put,STOCK,SH,2018-08-14 16:47:18,438000.0,16000.0,16000.0,0.0,0.0,1423053,13F-HR/A,2018-06-30 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,2018-08-14 00:00:00,1231.0,27.36,False,11158429.0
2018-07-20 12:00:10,0001455845-18-000007,,DFND,,STOCK,SH,2018-07-20 12:00:10,125000.0,3250.0,3250.0,0.0,0.0,1455845,13F-HR,2018-06-30 00:00:00,2018-07-20 00:00:00,2018-07-20 00:00:00,2018-07-20 00:00:00,1231.0,38.38,False,56998.0
2018-02-12 07:10:17,0001398344-18-001914,,SOLE,,STOCK,SH,2018-02-12 07:10:17,1884000.0,100196.0,100196.0,0.0,0.0,1529389,13F-HR,2017-12-31 00:00:00,2018-02-12 00:00:00,2018-02-12 00:00:00,2018-02-12 00:00:00,1231.0,18.8,False,4511.0
2018-07-13 11:52:59,0001715740-18-000003,,SOLE,,ETF,SH,2018-07-13 11:52:59,108000.0,1705.0,1705.0,0.0,0.0,1715740,13F-HR,2018-06-30 00:00:00,2018-07-13 00:00:00,2018-07-13 00:00:00,2018-07-13 00:00:00,1231.0,63.37,False,11037214.0
2018-02-09 11:03:54,0001222993-18-000001,,SOLE,,STOCK,SH,2018-02-09 11:03:54,46885000.0,411201.0,300903.0,0.0,110298.0,1222993,13F-HR,2017-12-31 00:00:00,2018-02-09 00:00:00,2018-02-09 00:00:00,2018-02-09 00:00:00,1231.0,114.02,False,340028.0
2018-05-09 11:42:07,0001635236-18-000005,,SOLE,,STOCK,SH,2018-05-09 11:42:07,64455000.0,2156419.0,2156419.0,0.0,0.0,1635236,13F-HR,2018-03-31 00:00:00,2018-05-09 00:00:00,2018-05-09 00:00:00,2018-05-09 00:00:00,1231.0,29.89,False,11137691.0
2018-08-15 23:00:00,0000950123-18-008996,1,DFND,,STOCK,SH,2018-08-14 21:19:46,2692000.0,48367.0,0.0,48367.0,0.0,1529735,13F-HR,2018-06-30 00:00:00,2018-08-15 00:00:00,2018-08-14 00:00:00,2018-08-15 00:00:00,1231.0,55.66,False,31042.0
2018-07-13 08:57:44,0001398344-18-010038,,SOLE,,STOCK,SH,2018-07-13 08:57:44,12000.0,106.0,106.0,0.0,0.0,1722092,13F-HR,2018-06-30 00:00:00,2018-07-13 00:00:00,2018-07-13 00:00:00,2018-07-13 00:00:00,1231.0,111.49,False,30390.0
2018-11-14 14:53:56,0001011443-18-000017,,SOLE,,STOCK,SH,2018-11-14 14:53:56,9367000.0,218900.0,218900.0,0.0,0.0,1011443,13F-HR,2018-09-30 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,2018-11-14 00:00:00,1231.0,42.79,False,11078928.0
2018-05-07 11:48:45,0001580642-18-002487,,SOLE,,,SH,2018-05-07 11:48:45,158000.0,16912.0,0.0,0.0,16912.0,1706351,13F-HR,2018-03-31 00:00:00,2018-05-07 00:00:00,2018-05-07 00:00:00,2018-05-07 00:00:00,1231.0,9.37,False,10967892.0
2018-02-08 14:30:49,0000072971-18-000242,3,DFND,,STOCK,SH,2018-02-08 14:30:49,199577000.0,914525.0,164208.0,0.0,750317.0,72971,13F-HR,2017-12-31 00:00:00,2018-02-08 00:00:00,2018-02-08 00:00:00,2018-02-08 00:00:00,1231.0,218.23,False,77581.0
2018-05-17 23:00:00,0000932540-18-000003,,SOLE,,STOCK,SH,2018-05-16 18:55:26,32000.0,6658.0,6658.0,0.0,0.0,932540,13F-HR/A,2018-03-31 00:00:00,2018-05-17 00:00:00,2018-05-16 00:00:00,2018-05-17 00:00:00,930.0,4.78,False,50428.0
2018-05-01 10:48:54,0001722053-18-000004,,SOLE,,,PRN,2018-05-01 10:48:54,15000.0,430.0,430.0,0.0,0.0,1722053,13F-HR,2018-03-31 00:00:00,2018-05-01 00:00:00,2018-05-01 00:00:00,2018-05-01 00:00:00,1231.0,34.69,False,73960.0
2018-07-26 11:13:36,0000909012-18-000096,0,SOLE,,STOCK,SH,2018-07-26 11:13:36,1412000.0,10974.0,10974.0,0.0,0.0,1637541,13F-HR/A,2018-06-30 00:00:00,2018-07-26 00:00:00,2018-07-26 00:00:00,2018-07-26 00:00:00,,,False,83669.0
2018-08-10 10:48:27,0000831001-18-000126,"14,18,19,27",DFND,,STOCK,SH,2018-08-10 10:48:27,276000.0,27676.0,27676.0,0.0,0.0,831001,13F-HR,2018-06-30 00:00:00,2018-08-10 00:00:00,2018-08-10 00:00:00,2018-08-10 00:00:00,1231.0,9.99,False,60867.0
2018-02-14 15:29:02,0001632813-18-000001,"1,2",DFND,Call,OPTION,SH,2018-02-14 15:29:02,26840000.0,114600.0,114600.0,0.0,0.0,1632813,13F-HR,2017-12-31 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,2018-02-14 00:00:00,1231.0,,False,
2018-01-10 12:34:28,0001140361-18-001561,,SOLE,,ADR,SH,2018-01-10 12:34:28,1995000.0,50310.0,50310.0,0.0,0.0,1344114,13F-HR,2017-12-31 00:00:00,2018-01-10 00:00:00,2018-01-10 00:00:00,2018-01-10 00:00:00,1231.0,39.65,False,74368.0
2018-11-02 15:42:40,0000938077-18-000004,,SOLE,,STOCK,SH,2018-11-02 15:42:40,243000.0,22020.0,0.0,0.0,22020.0,938077,13F-HR,2018-09-30 00:00:00,2018-11-02 00:00:00,2018-11-02 00:00:00,2018-11-02 00:00:00,,11.02,False,306525.0
2018-05-14 13:07:25,0000930413-18-001801,,DFND,,STOCK,SH,2018-05-14 13:07:25,1638000.0,124071.0,0.0,0.0,0.0,887793,13F-HR,2018-03-31 00:00:00,2018-05-14 00:00:00,2018-05-14 00:00:00,2018-05-14 00:00:00,1231.0,13.2,False,25071.0
2018-08-08 15:08:56,0000748054-18-000025,1,DFND,,STOCK,SH,2018-08-08 15:08:56,359574000.0,7698002.0,5515770.0,2182232.0,0.0,748054,13F-HR,2018-06-30 00:00:00,2018-08-08 00:00:00,2018-08-08 00:00:00,2018-08-08 00:00:00,1231.0,46.71,False,14935.0
